Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_0/inst/probe0_1,design_1_i/system_ila_0/inst/probe1_1,design_1_i/system_ila_0/inst/probe2_1,design_1_i/system_ila_0/inst/probe3_1[31:0],design_1_i/system_ila_0/inst/probe4_1[63:0],design_1_i/system_ila_0/inst/probe5_1[15:0],design_1_i/system_ila_0/inst/net_slot_0_axis_tdata[15:0],design_1_i/system_ila_0/inst/net_slot_0_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_0_axis_tlast,design_1_i/system_ila_0/inst/net_slot_1_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_1_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_1_axis_tlast,design_1_i/system_ila_0/inst/net_slot_2_axis_tdata[127:0],design_1_i/system_ila_0/inst/net_slot_2_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_2_axis_tready,design_1_i/system_ila_0/inst/net_slot_2_axis_tlast,design_1_i/system_ila_0/inst/net_slot_3_axis_tdata[127:0],design_1_i/system_ila_0/inst/net_slot_3_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_3_axis_tlast,design_1_i/system_ila_0/inst/net_slot_4_axis_tdata[127:0],design_1_i/system_ila_0/inst/net_slot_4_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_4_axis_tlast,design_1_i/system_ila_0/inst/net_slot_5_axis_tdata[15:0],design_1_i/system_ila_0/inst/net_slot_5_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_5_axis_tready,design_1_i/system_ila_0/inst/net_slot_5_axis_tlast,design_1_i/system_ila_0/inst/net_slot_6_axis_tdata[15:0],design_1_i/system_ila_0/inst/net_slot_6_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_6_axis_tlast,design_1_i/system_ila_0/inst/net_slot_7_axis_tdata[63:0],design_1_i/system_ila_0/inst/net_slot_7_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_7_axis_tlast,design_1_i/system_ila_0/inst/net_slot_8_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_8_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_8_axis_tready,design_1_i/system_ila_0/inst/net_slot_8_axis_tlast,design_1_i/system_ila_0/inst/net_slot_9_axis_tdata[63:0],design_1_i/system_ila_0/inst/net_slot_9_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_9_axis_tlast,Interface_(i1:s0)_(cordic_0_M_AXIS_DOUT)[2:0],Interface_(i1:s1)_(cordic_average_0_m_axis_cartesian)[2:0],Interface_(i1:s2)_(usp_rf_data_converter_0_m01_axis)[2:0],Interface_(i1:s3)_(PostCordicExtension_0_m_axis)[2:0],Interface_(i1:s4)_(sync_axis_power_mod_0_m_axis)[2:0],Interface_(i1:s5)_(axis_tlast_gen_3_m_axis)[2:0],Interface_(i1:s6)_(cic_compiler_2_M_AXIS_DATA)[2:0],Interface_(i1:s7)_(iq_split_0_m_axis_i)[2:0],Interface_(i1:s8)_(axis_data_fifo_0_M_AXIS)[2:0],Interface_(i1:s9)_(iq_split_0_m_axis_q)[2:0],T_Channel_(i1:s0)_(cordic_0_M_AXIS_DOUT)[2:0],T_Channel_(i1:s1)_(cordic_average_0_m_axis_cartesian)[2:0],T_Channel_(i1:s2)_(usp_rf_data_converter_0_m01_axis)[2:0],T_Channel_(i1:s3)_(PostCordicExtension_0_m_axis)[2:0],T_Channel_(i1:s4)_(sync_axis_power_mod_0_m_axis)[2:0],T_Channel_(i1:s5)_(axis_tlast_gen_3_m_axis)[2:0],T_Channel_(i1:s6)_(cic_compiler_2_M_AXIS_DATA)[2:0],T_Channel_(i1:s7)_(iq_split_0_m_axis_i)[2:0],T_Channel_(i1:s8)_(axis_data_fifo_0_M_AXIS)[2:0],T_Channel_(i1:s9)_(iq_split_0_m_axis_q)[2:0]
1290,1290,0,0,0,0,00000004,0183014200480076,00b8,03e4,1,0,ffe500ab,1,0,ffb90183fee10142fe84004800fd0076,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003660000036600000366000003660,1,0,fe71,0,0,0,fe71,0,0,0183014200480076,1,0,413800b8,0,1,0,ffb9fee1fe8400fd,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
1291,1291,0,0,0,0,00000004,00b9001a00ce017c,00b8,ef1c,1,0,ffc30070,1,0,fe9700b90000001a015000ce0095017c,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003660000036600000366000003660,1,0,fe71,0,0,0,fe71,0,0,00b9001a00ce017c,1,0,413800b8,0,1,0,fe97000001500095,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
1292,1292,0,0,0,0,00000004,0056016801a70189,00b8,0054,1,0,000f0063,1,0,00ae005601630168001301a7ff6c0189,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003661000036610000366100003661,1,0,fe71,0,0,0,fe71,0,0,0056016801a70189,1,0,40e80030,1,1,0,00ae01630013ff6c,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","Active","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","Stream Beat","Stream Beat"
1293,1293,0,0,0,0,00000004,0186019401380055,0030,0bb9,1,0,0032009d,1,0,00ab0186ffc90194ff070138fe860055,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003661000036610000366100003661,1,0,fe71,0,0,0,fe71,0,0,0186019401380055,1,0,40e80030,0,1,0,00abffc9ff07fe86,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
1294,1294,0,0,0,0,00000004,017000e7001c00ca,0030,f9fb,1,0,ffc00094,1,0,ff830170fe7900e7ffe2001c016f00ca,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003662000036620000366200003662,1,0,fe71,0,0,0,fe71,0,0,017000e7001c00ca,1,0,40e80030,0,1,0,ff83fe79ffe2016f,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
1295,1295,0,0,0,0,00000004,00720037017401d1,0030,f2ae,1,0,ffe90067,1,0,fe8f007200910037017a0174003901d1,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003662000036620000366200003662,1,0,fe71,0,0,0,fe71,0,0,00720037017401d1,1,0,40e80030,0,1,0,fe8f0091017a0039,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
1296,1296,0,0,0,0,00000004,00a9016f01a10140,0030,0255,1,0,001a007d,1,0,017200a900a9016fffe501a1ff080140,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003663000036630000366300003663,1,0,fe71,0,0,0,fe71,0,0,00a9016f01a10140,1,0,40e80030,0,1,0,017200a9ffe5ff08,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
1297,1297,0,0,0,0,00000004,01ad016900e10030,0030,0b18,1,0,0021009f,1,0,003101adffab0169fe8900e1ff870030,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003663000036630000366300003663,1,0,fe71,0,0,0,fe71,0,0,01ad016900e10030,1,0,40e80030,0,1,0,0031ffabfe89ff87,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
1298,1298,0,0,0,0,00000004,014c0076003c0152,0030,f5e5,1,0,ffbd0084,1,0,ff28014cfe8500760067003c01980152,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003663000036630000366300003663,1,0,fe71,0,0,0,fe71,0,0,014c0076003c0152,1,0,40e80030,0,1,0,ff28fe8500670198,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
1299,1299,0,0,0,0,00000004,0034009c01710198,0030,f685,1,0,fff5006a,1,0,ff5a0034016b009c00cc0171ffea0198,1,1,0,e656ece5e656ece5e656ece5e656ece5,1,0,00003663000036630000366300003663,1,0,fe71,0,0,0,fe71,0,0,0034009c01710198,1,0,40e80030,0,1,0,ff5a016b00ccffea,1,0,"Active","Active","Active","Active","Active","Inactive","Inactive","Active","_","Active","Stream Beat","Stream Beat","Stream Beat","Stream Beat","Stream Beat","No Streams","No Streams","Stream Beat","_","Stream Beat"
